movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
King of New York,R,"Action & Adventure, Drama",1990-09-28,2000-08-15,106,Fresh,71,24,Upright,77,21142,7,17,7
Troll 2,PG-13,"Comedy, Horror",1990-10-03,1992-07-22,95,Rotten,6,18,Spilled,44,10281,1,1,17
Marked for Death,R,"Action & Adventure, Drama, Mystery & Suspense",1990-10-05,2001-12-18,93,Rotten,22,9,Spilled,50,19521,0,2,7
Night of the Living Dead,R,"Horror, Mystery & Suspense",1990-10-19,2000-09-06,92,Fresh,68,31,Upright,68,64152,4,21,10
Quigley Down Under,PG-13,"Action & Adventure, Western",1990-10-19,2001-09-04,121,Fresh,60,15,Upright,73,20680,2,9,6
Jacob's Ladder,R,"Drama, Horror, Mystery & Suspense",1990-11-02,2010-09-14,113,Fresh,72,64,Upright,84,52981,16,46,18
Child's Play 2,R,"Horror, Mystery & Suspense",1990-11-09,1999-03-16,84,Rotten,44,16,Spilled,47,125671,2,7,9
Dances With Wolves,PG-13,"Action & Adventure, Drama, Western",1990-11-09,2003-06-17,181,Certified Fresh,82,74,Upright,87,213583,19,61,13
Home Alone,PG,"Comedy, Kids & Family",1990-11-16,1999-10-05,103,Fresh,65,54,Upright,80,1026303,13,35,19
The Rescuers Down Under,G,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",1990-11-16,1997-05-20,77,Fresh,69,26,Upright,68,81939,6,18,8
Rocky V,PG-13,"Action & Adventure, Drama",1990-11-16,2003-03-18,105,Rotten,29,35,Spilled,31,268083,8,10,25
Predator 2,R,"Action & Adventure, Horror, Science Fiction & Fantasy",1990-11-21,2003-02-04,108,Rotten,29,28,Spilled,44,139012,2,8,20
Three Men and a Little Lady,PG,Comedy,1990-11-21,2002-04-02,100,Rotten,33,15,Spilled,43,80720,2,5,10
Misery,R,"Drama, Horror, Mystery & Suspense",1990-11-30,1998-12-22,107,Certified Fresh,90,67,Upright,89,177723,12,60,7
The Rookie,R,"Action & Adventure, Comedy, Drama, Mystery & Suspense",1990-12-07,2003-09-02,121,Rotten,29,14,Spilled,36,20580,4,4,10
Edward Scissorhands,PG-13,"Drama, Science Fiction & Fantasy, Romance",1990-12-07,2001-12-18,100,Certified Fresh,90,58,Upright,91,1032683,10,52,6
Captain America,PG-13,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",1990-12-14,1992-07-22,103,Rotten,7,15,Spilled,16,10690,2,1,14
"Look Who's Talking, Too",PG-13,Comedy,1990-12-14,2000-10-10,81,Rotten,13,15,Spilled,32,196699,1,2,13
Mermaids,PG-13,"Comedy, Romance",1990-12-14,2001-02-06,110,Fresh,73,22,Upright,70,51432,7,16,6
Awakenings,PG-13,Drama,1990-12-19,2001-08-28,120,Fresh,88,33,Upright,89,55111,4,29,4
Hamlet,PG,"Drama, Romance",1990-12-19,2004-02-24,135,Fresh,74,34,Spilled,59,38286,8,25,9
The Bonfire of the Vanities,R,Comedy,1990-12-21,2001-11-06,126,Rotten,16,51,Spilled,26,12124,13,8,43
Kindergarten Cop,PG-13,"Action & Adventure, Comedy, Cult Movies, Mystery & Suspense",1990-12-21,1998-01-20,111,Rotten,50,36,Spilled,51,328635,8,18,18
"The Godfather, Part III",R,"Action & Adventure, Drama",1990-12-25,2005-05-24,170,Fresh,68,59,Upright,78,305688,11,40,19
Green Card,PG-13,"Comedy, Romance",1990-12-25,2003-03-04,108,Fresh,60,30,Spilled,50,26263,11,18,12
Father of the Bride,PG,Comedy,1991-01-01,1999-04-20,105,Fresh,70,43,Upright,70,375119,9,30,13
New Jack City,R,"Action & Adventure, Drama",1991-01-01,1998-08-25,101,Fresh,77,30,Upright,80,45297,9,23,7
Return to the Blue Lagoon,PG-13,"Action & Adventure, Drama, Romance",1991-01-01,2002-11-05,101,Rotten,0,30,Spilled,41,15828,10,0,30
What About Bob?,PG,"Comedy, Drama",1991-01-01,2000-07-11,99,Certified Fresh,84,43,Upright,79,119191,9,36,7
Lionheart,R,Action & Adventure,1991-01-11,1998-09-08,105,Rotten,27,15,Spilled,52,15367,4,4,11
Not Without My Daughter,PG-13,"Art House & International, Drama, Mystery & Suspense, Special Interest",1991-01-11,2001-10-02,107,Rotten,50,16,Upright,71,16099,3,8,8
Warlock,R,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",1991-01-11,1998-09-16,103,Rotten,53,17,Spilled,47,11102,2,9,8
White Fang,PG,"Action & Adventure, Drama, Kids & Family",1991-01-18,2002-04-23,109,Fresh,63,19,Upright,63,39894,6,12,7
Operation Condor (Fei ying gai wak) (Armour of God II),PG-13,"Action & Adventure, Art House & International, Comedy",1991-02-07,1999-09-14,103,Fresh,71,34,Upright,66,17525,15,24,10
L.A. Story,PG-13,Comedy,1991-02-08,2001-03-20,98,Fresh,94,35,Upright,75,18332,11,33,2
Rosencrantz and Guildenstern Are Dead,PG,"Art House & International, Comedy, Drama",1991-02-08,2016-01-12,118,Fresh,62,29,Upright,87,17211,6,18,11
Sleeping with the Enemy,R,"Drama, Mystery & Suspense",1991-02-08,2003-09-02,99,Rotten,21,33,Upright,61,63811,9,7,26
The Silence of the Lambs,R,"Horror, Mystery & Suspense",1991-02-13,1998-07-01,118,Certified Fresh,96,93,Upright,95,846418,27,89,4
King Ralph,PG,Comedy,1991-02-15,1998-06-15,96,Rotten,20,10,Spilled,27,19595,2,2,8
The Doors,R,Drama,1991-03-01,1997-08-19,138,Rotten,57,61,Upright,79,60589,17,35,26
Teenage Mutant Ninja Turtles II - The Secret of the Ooze,PG,"Action & Adventure, Comedy, Kids & Family",1991-03-22,2002-09-03,88,Rotten,35,43,Upright,67,191851,15,15,28
The Five Heartbeats,R,"Drama, Musical & Performing Arts",1991-03-29,2002-01-22,122,Rotten,35,17,Upright,95,19038,3,6,11
Out for Justice,R,Action & Adventure,1991-04-12,1999-05-18,96,Rotten,23,22,Spilled,53,20777,6,5,17
Oscar,PG,"Comedy, Drama, Mystery & Suspense",1991-04-26,2003-05-06,109,Rotten,12,17,Upright,63,21087,2,2,15
Toy Soldiers,R,"Action & Adventure, Drama, Mystery & Suspense",1991-04-26,2002-11-05,112,Rotten,36,14,Upright,66,39412,3,5,9
La Double Vie de Véronique (The Double Life of Veronique),R,"Art House & International, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",1991-05-15,2006-11-21,96,Fresh,82,28,Upright,92,20120,6,23,5
Drop Dead Fred,PG-13,Comedy,1991-05-24,2003-07-22,103,Rotten,9,34,Upright,77,198476,11,3,31
Hudson Hawk,R,"Action & Adventure, Comedy",1991-05-24,1999-03-16,95,Rotten,26,34,Spilled,57,44207,5,9,25
Thelma & Louise,R,Comedy,1991-05-24,2003-02-04,130,Certified Fresh,84,67,Upright,82,170046,18,56,11
Wild Hearts Can't Be Broken,G,"Action & Adventure, Drama, Kids & Family",1991-05-24,2006-01-17,89,Fresh,73,11,Upright,89,16718,2,8,3
The Hard Way,R,"Action & Adventure, Comedy",1991-06-01,1998-11-17,111,Fresh,74,19,Spilled,53,11212,3,14,5
The Neverending Story II: The Next Chapter,G,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",1991-06-01,2001-09-04,90,Rotten,14,7,Spilled,40,61132,0,1,6
City Slickers,PG-13,"Comedy, Western",1991-06-07,1999-02-04,114,Fresh,88,33,Upright,64,161023,4,29,4
Don't Tell Mom the Babysitter's Dead,PG-13,Comedy,1991-06-07,2001-05-01,105,Rotten,36,28,Spilled,56,131048,9,10,18
Robin Hood: Prince of Thieves,PG-13,"Action & Adventure, Drama, Romance",1991-06-14,1997-09-30,155,Rotten,51,53,Upright,72,334677,14,27,26
The Rocketeer,PG,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",1991-06-21,2001-07-17,109,Fresh,63,60,Upright,65,57381,11,38,22
Suburban Commando,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",1991-06-21,2002-09-03,90,Rotten,15,13,Spilled,32,20593,1,2,11
The Naked Gun 2 1/2: The Smell of Fear,PG-13,Comedy,1991-06-28,2000-08-15,85,Rotten,57,40,Upright,65,123082,8,23,17
Terminator 2: Judgment Day,R,"Action & Adventure, Drama, Science Fiction & Fantasy",1991-07-03,1998-03-31,153,Certified Fresh,93,81,Upright,94,748320,26,75,6
Slacker,R,"Classics, Comedy, Drama",1991-07-05,2004-09-14,105,Fresh,86,35,Upright,77,10296,7,30,5
Regarding Henry,PG-13,Drama,1991-07-10,2003-09-09,107,Rotten,41,29,Upright,63,21185,4,12,17
Boyz n the Hood,R,Drama,1991-07-12,2001-03-06,112,Certified Fresh,96,69,Upright,93,144120,17,66,3
Point Break,R,"Action & Adventure, Mystery & Suspense",1991-07-12,2001-05-22,122,Fresh,69,59,Upright,79,133501,11,41,18
Bill & Ted's Bogus Journey,PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",1991-07-19,2001-12-04,98,Rotten,54,50,Spilled,56,230355,13,27,23
Mobsters,R,"Action & Adventure, Drama, Mystery & Suspense",1991-07-26,2003-09-30,104,Rotten,6,32,Spilled,57,10312,13,2,30
Hot Shots!,PG-13,Comedy,1991-07-31,2002-08-06,83,Fresh,83,24,Upright,65,157608,2,20,4
Doc Hollywood,PG-13,"Comedy, Romance",1991-08-02,1998-10-06,103,Fresh,67,33,Spilled,50,43889,6,22,11
Double Impact,R,Action & Adventure,1991-08-09,2001-02-06,107,Rotten,32,19,Spilled,42,48769,3,6,13
The Commitments,R,"Comedy, Drama, Musical & Performing Arts",1991-08-14,1999-11-02,116,Certified Fresh,88,43,Upright,90,28377,11,38,5
Barton Fink,R,"Comedy, Drama",1991-08-21,2003-05-20,116,Certified Fresh,90,58,Upright,89,45291,13,52,6
Dead Again,R,"Drama, Mystery & Suspense, Romance",1991-08-23,2000-06-27,107,Certified Fresh,83,47,Upright,77,11905,11,39,8
Harley Davidson and the Marlboro Man,R,Action & Adventure,1991-08-23,2001-02-06,100,Rotten,22,18,Upright,65,12238,2,4,14
The Man in the Moon,PG-13,"Drama, Romance",1991-08-30,2001-01-09,105,Fresh,90,20,Upright,85,33322,5,18,2
Child's Play 3,R,"Horror, Mystery & Suspense",1991-08-30,2003-10-07,90,Rotten,29,14,Spilled,33,82562,2,4,10
Freddy's Dead: The Final Nightmare,R,Horror,1991-09-13,2001-08-21,89,Rotten,20,30,Spilled,33,73149,5,6,24
The Fisher King,R,"Comedy, Drama, Science Fiction & Fantasy",1991-09-20,1999-02-16,138,Certified Fresh,83,59,Upright,86,45746,11,49,10
Little Man Tate,PG,"Drama, Kids & Family",1991-10-09,2001-09-04,99,Fresh,73,26,Upright,66,14917,4,19,7
Frankie & Johnny,R,"Comedy, Drama, Romance",1991-10-11,2001-12-04,117,Fresh,66,29,Upright,67,21597,10,19,10
Ernest Scared Stupid,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",1991-10-11,2002-09-03,93,Rotten,17,6,Spilled,50,48890,0,1,5
My Own Private Idaho,R,"Art House & International, Drama",1991-10-18,2005-03-01,105,Certified Fresh,81,57,Upright,81,38629,17,46,11
House Party 2,R,Comedy,1991-10-23,2000-06-13,94,Rotten,21,14,Upright,66,19764,3,3,11
Curly Sue,PG,"Comedy, Kids & Family",1991-10-25,2004-06-01,102,Rotten,13,15,Spilled,50,49649,3,2,13
Highlander 2: The Quickening,R,"Action & Adventure, Science Fiction & Fantasy",1991-11-01,1997-11-11,90,Rotten,0,23,Spilled,23,52979,5,0,23
The People Under The Stairs,R,"Comedy, Horror",1991-11-01,2003-10-07,102,Fresh,63,24,Spilled,58,44446,5,15,9
Cape Fear,R,"Drama, Mystery & Suspense",1991-11-13,2001-09-18,128,Certified Fresh,75,48,Upright,77,68628,11,36,12
The Addams Family,PG-13,"Comedy, Horror, Science Fiction & Fantasy",1991-11-22,2000-02-22,99,Fresh,63,46,Upright,66,315126,8,29,17
An American Tail - Fievel Goes West,G,"Action & Adventure, Animation, Kids & Family, Western",1991-11-22,2004-01-20,76,Rotten,54,13,Upright,62,338589,2,7,6
Beauty and the Beast,G,"Animation, Drama, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",1991-11-22,2002-10-08,85,Certified Fresh,94,115,Upright,92,759862,32,108,7
My Girl,PG-13,"Comedy, Drama, Kids & Family",1991-11-27,1998-05-26,102,Rotten,53,17,Upright,77,394622,3,9,8
Star Trek VI - The Undiscovered Country,PG,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",1991-12-03,1999-01-26,109,Certified Fresh,81,54,Upright,83,63046,12,44,10
Critters 3,PG-13,"Horror, Science Fiction & Fantasy",1991-12-11,2003-08-05,86,Rotten,0,7,Spilled,23,11839,0,0,7
Hook,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",1991-12-11,2000-03-21,136,Rotten,26,62,Upright,76,731010,14,16,46
Night on Earth,R,"Art House & International, Comedy, Drama",1991-12-12,2007-09-04,125,Fresh,75,24,Upright,91,20538,6,18,6
Bugsy,R,Drama,1991-12-13,1998-12-15,136,Certified Fresh,85,59,Upright,69,10198,16,50,9
The Last Boy Scout,R,"Action & Adventure, Drama",1991-12-13,1998-05-26,105,Rotten,46,35,Upright,68,60196,5,16,19
JFK,R,"Drama, Mystery & Suspense",1991-12-20,1997-08-27,189,Certified Fresh,84,62,Upright,88,62523,13,52,10
Fried Green Tomatoes,PG-13,"Comedy, Drama",1991-12-27,2000-04-18,130,Fresh,74,42,Upright,91,134857,12,31,11
The Cutting Edge,PG,"Comedy, Drama, Romance",1992-01-01,2001-01-09,101,Rotten,56,34,Upright,76,43256,11,19,15
Alien3,R,"Horror, Science Fiction & Fantasy",1992-01-01,1999-06-01,114,Rotten,42,53,Spilled,47,338843,9,22,31
Ladybugs,PG-13,"Comedy, Kids & Family",1992-01-01,2006-07-25,89,Rotten,13,15,Spilled,42,18556,2,2,13
Tom and Jerry: The Movie,G,"Animation, Comedy, Kids & Family",1992-01-01,2002-03-12,80,Rotten,14,14,Spilled,40,11462,5,2,12
Kuffs,PG-13,"Action & Adventure, Comedy",1992-01-10,2003-08-12,102,Rotten,28,18,Spilled,47,10335,2,5,13
The Hand that Rocks the Cradle,R,"Drama, Mystery & Suspense",1992-01-10,2001-08-28,110,Fresh,63,48,Upright,61,47192,14,30,18
Twin Dragons (Shuang long hui) (Brother vs. Brother),PG-13,"Action & Adventure, Art House & International, Comedy",1992-01-15,1999-09-07,100,Rotten,45,38,Spilled,49,18174,8,17,21
Freejack,R,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",1992-01-17,2001-06-05,108,Rotten,18,17,Spilled,25,14286,2,3,14
Juice,R,"Action & Adventure, Drama",1992-01-17,2001-01-16,95,Fresh,78,23,Upright,90,48640,7,18,5
Reservoir Dogs,R,"Action & Adventure, Drama, Mystery & Suspense",1992-01-21,2002-11-05,98,Certified Fresh,91,69,Upright,94,445913,23,63,6
Strictly Ballroom,PG,"Comedy, Drama, Romance",1992-02-01,2002-03-19,94,Certified Fresh,95,41,Upright,87,43298,6,39,2
Stop! Or My Mom Will Shoot,PG-13,"Action & Adventure, Comedy",1992-02-01,2004-01-20,88,Rotten,8,26,Spilled,21,52906,7,2,24
Medicine Man,PG-13,Drama,1992-02-07,1999-08-17,105,Rotten,19,21,Spilled,46,37433,3,4,17
Wayne's World,PG-13,Comedy,1992-02-14,1999-11-16,95,Certified Fresh,84,50,Upright,84,461909,9,42,8
Radio Flyer,PG-13,Drama,1992-02-21,2004-10-12,109,Rotten,33,39,Upright,72,15608,13,13,26
Memoirs of an Invisible Man,PG-13,"Comedy, Science Fiction & Fantasy, Romance",1992-02-28,2003-08-19,99,Rotten,23,31,Spilled,31,19236,3,7,24
The Lawnmower Man,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",1992-03-06,1997-09-30,108,Rotten,35,40,Spilled,31,47089,6,14,26
American Me,R,Drama,1992-03-13,2003-01-07,126,Fresh,78,9,Upright,90,10324,2,7,2
Howards End,PG,"Art House & International, Drama, Romance",1992-03-13,2001-06-18,143,Certified Fresh,94,63,Upright,82,13645,18,59,4
My Cousin Vinny,R,Comedy,1992-03-13,2001-08-14,120,Certified Fresh,86,56,Upright,87,109298,17,48,8
Basic Instinct,R,"Drama, Horror, Mystery & Suspense, Romance",1992-03-20,1997-08-26,127,Rotten,53,62,Upright,63,131882,17,33,29
White Men Can't Jump,R,"Comedy, Drama",1992-03-27,2001-08-14,115,Certified Fresh,76,54,Upright,68,161733,16,41,13
Thunderheart,R,"Action & Adventure, Drama, Mystery & Suspense",1992-04-01,2000-11-07,122,Fresh,88,17,Upright,75,12128,3,15,2
Beethoven,PG,"Comedy, Kids & Family, Special Interest",1992-04-03,2000-07-04,87,Rotten,33,27,Spilled,35,432330,7,9,18
Delicatessen,R,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",1992-04-03,2006-05-02,97,Certified Fresh,89,54,Upright,91,47188,12,48,6
Rock-a-Doodle,G,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",1992-04-03,2001-08-07,77,Rotten,20,15,Spilled,55,40048,2,3,12
FernGully - The Last Rainforest,G,"Animation, Kids & Family, Science Fiction & Fantasy",1992-04-10,2002-02-18,72,Fresh,63,16,Upright,64,187264,1,10,6
Newsies,PG,"Kids & Family, Musical & Performing Arts",1992-04-10,2002-01-15,121,Rotten,39,38,Upright,88,50518,16,15,23
Stephen King's 'Sleepwalkers',R,Horror,1992-04-10,2001-01-16,91,Rotten,25,16,Spilled,31,26637,0,4,12
Like Water for Chocolate (Como Agua para Chocolate),R,"Art House & International, Drama, Romance",1992-04-16,2000-03-14,105,Fresh,91,35,Upright,84,27127,5,32,3
Lethal Weapon 3,R,Action & Adventure,1992-05-15,1997-12-16,118,Rotten,59,46,Upright,61,238769,10,27,19
Encino Man,PG,"Comedy, Science Fiction & Fantasy",1992-05-22,2001-05-15,88,Rotten,15,34,Spilled,56,124800,8,5,29
Far and Away,PG-13,"Classics, Drama, Romance",1992-05-22,1998-06-23,140,Rotten,48,33,Upright,62,59773,8,16,17
Sister Act,PG,"Comedy, Musical & Performing Arts",1992-05-29,2000-01-18,100,Fresh,72,25,Upright,65,726215,5,18,7
Patriot Games,R,"Action & Adventure, Drama, Mystery & Suspense",1992-06-05,1998-12-15,117,Fresh,72,39,Upright,73,70637,8,28,11
Housesitter,PG,"Comedy, Drama, Romance",1992-06-12,1998-07-21,102,Rotten,37,19,Spilled,47,39838,3,7,12
Boomerang,R,"Comedy, Romance",1992-07-01,2002-09-24,116,Rotten,44,34,Spilled,59,35891,10,15,19
A League of Their Own,PG,"Comedy, Drama, Sports & Fitness",1992-07-01,1997-09-09,128,Certified Fresh,78,65,Upright,84,366863,17,51,14
Cool World,PG-13,"Action & Adventure, Animation, Comedy, Science Fiction & Fantasy",1992-07-10,2003-11-11,102,Rotten,6,48,Spilled,31,54797,11,3,45
Universal Soldier,R,"Action & Adventure, Science Fiction & Fantasy",1992-07-10,2001-06-19,98,Rotten,24,29,Spilled,46,70119,9,7,22
Amityville 1992: It's About Time,R,Horror,1992-07-16,1992-07-16,95,Rotten,13,8,Spilled,23,11566,0,1,7
"Honey, I Blew Up the Kid",PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",1992-07-17,2002-10-08,89,Rotten,40,20,Spilled,24,196192,3,8,12
Bebe's Kids,PG-13,"Animation, Comedy, Kids & Family",1992-07-31,2004-10-05,74,Rotten,30,10,Upright,74,10104,1,3,7
Buffy the Vampire Slayer,PG-13,"Action & Adventure, Comedy, Horror",1992-07-31,2001-09-04,98,Rotten,35,52,Spilled,43,335065,12,18,34
Death Becomes Her,PG-13,"Comedy, Science Fiction & Fantasy",1992-07-31,1998-01-20,103,Rotten,52,48,Upright,61,174052,16,25,23
Unforgiven,R,"Drama, Western",1992-08-03,1997-03-26,131,Certified Fresh,96,98,Upright,93,122522,25,94,4
3 Ninjas,PG,"Action & Adventure, Comedy, Kids & Family",1992-08-07,2003-06-03,84,Rotten,32,22,Spilled,53,202483,8,7,15
Single White Female,R,"Drama, Mystery & Suspense",1992-08-14,1998-02-24,103,Rotten,55,47,Spilled,44,39060,11,26,21
Rapid Fire,R,"Action & Adventure, Drama, Mystery & Suspense",1992-08-21,2002-05-21,100,Rotten,40,20,Spilled,55,10288,5,8,12
Honeymoon in Vegas,PG-13,"Comedy, Romance",1992-08-28,2001-05-15,95,Fresh,63,32,Spilled,35,28368,4,20,12
Pet Sematary Two,R,Horror,1992-08-28,2001-10-09,100,Rotten,24,21,Spilled,30,38558,0,5,16
Twin Peaks - Fire Walk with Me,R,"Drama, Mystery & Suspense, Special Interest",1992-08-28,2002-02-26,135,Fresh,64,75,Upright,78,42650,12,48,27
Sneakers,PG-13,"Action & Adventure, Comedy, Drama, Mystery & Suspense",1992-09-09,1998-03-31,126,Certified Fresh,78,51,Upright,80,39311,10,40,11
Hellraiser III: Hell on Earth,R,Horror,1992-09-11,2001-06-25,98,Rotten,41,17,Spilled,35,42548,5,7,10
Singles,PG-13,"Comedy, Drama, Romance",1992-09-18,1999-02-23,99,Certified Fresh,79,52,Upright,72,21697,15,41,11
Captain Ron,PG-13,Comedy,1992-09-18,2002-09-03,104,Rotten,23,22,Spilled,52,47984,4,5,17
School Ties,PG-13,Drama,1992-09-18,1999-06-29,107,Fresh,60,40,Upright,69,34546,9,24,16
The Mighty Ducks,PG,"Comedy, Kids & Family",1992-09-20,2000-04-11,114,Rotten,23,30,Upright,65,278405,7,7,23
The Last of the Mohicans,R,"Action & Adventure, Drama, Romance",1992-09-25,1999-11-23,114,Certified Fresh,95,40,Upright,88,207338,9,38,2
Glengarry Glen Ross,R,Drama,1992-09-29,2007-02-20,100,Certified Fresh,95,55,Upright,88,40916,9,52,3
Of Mice and Men,PG-13,Drama,1992-10-02,2001-11-06,110,Fresh,97,29,Upright,82,47824,7,28,1
Hero,PG-13,"Comedy, Drama",1992-10-02,1999-05-25,118,Fresh,65,20,Spilled,50,16892,1,13,7
1492: Conquest of Paradise,PG-13,"Action & Adventure, Art House & International, Classics, Drama",1992-10-09,2002-05-14,142,Rotten,32,22,Spilled,50,12298,5,7,15
A River Runs Through It,PG,Drama,1992-10-09,1999-11-23,123,Certified Fresh,80,45,Upright,83,67801,13,36,9
Under Siege,R,"Action & Adventure, Mystery & Suspense",1992-10-09,1997-08-27,103,Fresh,78,27,Upright,62,63946,6,21,6
Candyman,R,Horror,1992-10-16,2001-08-07,99,Fresh,74,54,Upright,61,134018,7,40,14
Husbands and Wives,R,"Comedy, Drama, Romance",1992-10-18,2002-04-16,108,Certified Fresh,93,41,Upright,87,14147,11,38,3
Dr. Giggles,R,Horror,1992-10-23,1998-09-22,96,Rotten,17,29,Spilled,41,10057,7,5,24
Pure Country,PG,"Drama, Musical & Performing Arts, Romance",1992-10-23,1998-05-26,112,Rotten,41,22,Upright,91,19708,9,9,13
Passenger 57,R,Action & Adventure,1992-11-06,1998-05-26,84,Rotten,24,25,Spilled,37,56252,2,6,19
Aladdin,G,"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts",1992-11-11,2004-10-05,90,Certified Fresh,95,73,Upright,92,939481,17,69,4
Love Potion No. 9,PG-13,"Comedy, Drama, Romance",1992-11-13,2001-05-01,96,Rotten,27,11,Spilled,43,34297,0,3,8
Home Alone 2: Lost in New York,PG,"Comedy, Kids & Family",1992-11-15,1999-10-05,120,Rotten,32,53,Upright,61,909290,13,17,36
Malcolm X,PG-13,Drama,1992-11-18,2000-01-18,201,Certified Fresh,88,57,Upright,91,56837,12,50,7
Bad Lieutenant,R,"Drama, Mystery & Suspense",1992-11-20,2000-02-15,90,Certified Fresh,77,47,Upright,73,16120,13,36,11
The Crying Game,R,"Drama, Mystery & Suspense, Romance",1992-11-25,1998-01-13,112,Certified Fresh,94,67,Upright,78,31780,19,63,4
The Bodyguard,R,"Action & Adventure, Drama, Musical & Performing Arts, Mystery & Suspense, Romance",1992-11-25,2006-04-18,129,Rotten,34,38,Upright,64,260598,8,13,25
A Few Good Men,R,"Drama, Mystery & Suspense",1992-12-11,1997-10-07,138,Certified Fresh,82,62,Upright,89,325257,18,51,11
The Muppet Christmas Carol,G,"Animation, Kids & Family, Science Fiction & Fantasy",1992-12-11,2002-10-08,85,Certified Fresh,75,44,Upright,86,122146,12,33,11
Forever Young,PG,"Drama, Kids & Family, Science Fiction & Fantasy, Romance",1992-12-16,1997-08-27,102,Rotten,57,23,Spilled,53,59692,6,13,10
Leap of Faith,PG-13,"Comedy, Drama",1992-12-18,2003-09-23,110,Fresh,62,21,Spilled,46,10913,2,13,8
Chaplin,PG-13,Drama,1992-12-18,2000-07-25,144,Fresh,60,50,Upright,81,25837,11,30,20
Toys,PG-13,"Action & Adventure, Comedy",1992-12-18,2001-10-16,122,Rotten,30,27,Spilled,39,56871,5,8,19
Scent of a Woman,R,Drama,1992-12-23,1998-04-28,157,Certified Fresh,88,43,Upright,92,119091,9,38,5
Lorenzo's Oil,PG-13,Drama,1992-12-30,2004-04-06,136,Fresh,92,38,Upright,80,15245,10,35,3
Man Bites Dog,NC17,"Art House & International, Comedy, Drama, Horror",1992-12-31,2002-09-24,95,Fresh,72,18,Upright,90,22640,1,13,5
Nowhere to Run,R,"Action & Adventure, Mystery & Suspense",1993-01-01,2001-12-11,90,Rotten,30,23,Spilled,32,20692,8,7,16
Fearless,R,Drama,1993-01-01,1999-05-18,122,Fresh,87,38,Upright,79,12352,9,33,5
Les Visiteurs (The Visitors ),R,"Art House & International, Comedy, Science Fiction & Fantasy",1993-01-01,2001-09-11,107,Rotten,31,13,Upright,79,12451,4,4,9
Benny & Joon,PG-13,"Comedy, Drama, Romance",1993-01-01,2001-01-09,98,Fresh,71,34,Upright,85,143447,11,24,10
Body Snatchers,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",1993-01-01,2001-08-21,87,Fresh,71,28,Spilled,38,13790,4,20,8
A Bronx Tale,R,Drama,1993-01-01,1998-05-25,81,Fresh,97,30,Upright,93,66726,5,29,1
Hard Target,R,Action & Adventure,1993-01-01,1998-06-30,97,Rotten,53,32,Spilled,49,35800,9,17,15
Return of the Living Dead 3,R,Horror,1993-01-01,2001-08-28,97,Rotten,50,10,Spilled,40,15475,0,5,5
Romper Stomper,R,Drama,1993-01-01,2000-11-21,92,Fresh,79,28,Upright,73,43960,6,22,6
This Boy's Life,R,Drama,1993-01-01,2003-05-13,115,Fresh,76,37,Upright,79,22958,13,28,9
Untamed Heart,PG-13,"Drama, Romance",1993-01-01,2001-11-14,102,Rotten,54,26,Upright,77,20428,4,14,12
Weekend at Bernie's II,PG,Comedy,1993-01-01,2001-12-04,89,Rotten,10,29,Spilled,41,37251,5,3,26
We're Back! A Dinosaur's Story,G,"Animation, Comedy, Kids & Family",1993-01-01,1994-03-23,71,Rotten,38,16,Spilled,49,17349,7,6,10
Arizona Dream,R,"Comedy, Drama, Romance",1993-01-06,1995-03-21,120,Fresh,87,15,Upright,86,25416,6,13,2
Leprechaun,R,"Comedy, Horror, Science Fiction & Fantasy",1993-01-08,1999-09-20,92,Rotten,23,13,Spilled,32,43340,1,3,10
Alive,R,"Action & Adventure, Drama",1993-01-15,2002-10-08,125,Fresh,62,26,Upright,68,46627,5,16,10
Children of the Corn II: The Final Sacrifice,R,"Horror, Mystery & Suspense",1993-01-29,1993-09-15,90,Rotten,22,9,Spilled,20,10698,1,2,7
Homeward Bound - The Incredible Journey,G,"Action & Adventure, Kids & Family",1993-02-03,1997-12-02,85,Fresh,87,30,Upright,71,266845,10,26,4
