movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
The Great Muppet Caper,G,"Comedy, Kids & Family, Musical & Performing Arts",1981-01-01,2001-07-10,95,Fresh,76,21,Upright,79,35183,5,16,5
Stripes,R,Comedy,1981-01-01,2001-06-18,102,Fresh,86,36,Upright,79,53015,6,31,5
Scanners,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",1981-02-14,2001-08-28,120,Fresh,76,33,Upright,64,31458,6,25,8
The Howling,R,Horror,1981-03-13,2001-08-28,91,Fresh,70,33,Spilled,57,31222,1,23,10
Omen III: The Final Conflict,R,"Horror, Mystery & Suspense",1981-03-20,2000-09-05,108,Rotten,30,20,Spilled,34,22039,2,6,14
Excalibur,R,"Action & Adventure, Science Fiction & Fantasy",1981-04-10,1999-09-21,140,Certified Fresh,79,43,Upright,80,50075,6,34,9
Friday the 13th Part 2,R,Horror,1981-05-01,2006-05-23,87,Rotten,29,42,Spilled,48,68308,5,12,30
Clash of the Titans,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",1981-06-12,2004-06-01,118,Fresh,68,41,Upright,70,56796,3,28,13
Raiders of the Lost Ark,PG,Action & Adventure,1981-06-12,2003-10-21,115,Certified Fresh,95,76,Upright,96,825919,17,72,4
Superman II,PG,"Action & Adventure, Science Fiction & Fantasy",1981-06-19,2001-05-01,127,Certified Fresh,86,50,Upright,76,239819,10,43,7
Dragonslayer,PG,"Action & Adventure, Science Fiction & Fantasy",1981-06-26,2003-10-21,109,Fresh,87,30,Upright,62,24432,6,26,4
For Your Eyes Only,PG,"Action & Adventure, Mystery & Suspense",1981-06-26,1999-10-19,127,Fresh,71,49,Upright,64,58959,10,35,14
The Fox and the Hound,G,"Animation, Kids & Family",1981-07-10,2000-05-02,83,Fresh,70,27,Upright,78,313310,4,19,8
Heavy Metal,R,"Action & Adventure, Animation, Science Fiction & Fantasy",1981-07-29,1999-11-23,90,Fresh,60,30,Upright,67,38847,6,18,12
Victory,PG,"Action & Adventure, Drama",1981-07-30,1998-02-24,116,Fresh,71,7,Upright,71,10325,3,5,2
Gallipoli,PG,"Art House & International, Drama",1981-08-07,1999-06-29,110,Certified Fresh,91,44,Upright,83,23078,9,40,4
An American Werewolf in London,R,"Comedy, Horror, Science Fiction & Fantasy",1981-08-21,1997-12-09,97,Certified Fresh,87,53,Upright,85,115427,10,46,7
Mommie Dearest,PG,"Drama, Special Interest",1981-09-18,2001-07-17,129,Rotten,49,43,Upright,72,19002,10,21,22
Chariots of Fire,PG,"Art House & International, Drama, Sports & Fitness",1981-09-25,1997-08-27,124,Certified Fresh,84,68,Upright,80,37110,17,57,11
The Evil Dead,R,"Horror, Science Fiction & Fantasy",1981-10-15,1999-01-19,85,Certified Fresh,95,60,Upright,84,202565,6,57,3
Halloween II,R,"Drama, Horror",1981-10-30,1998-09-22,93,Rotten,28,39,Upright,63,76931,6,11,28
Time Bandits,PG,"Action & Adventure, Science Fiction & Fantasy",1981-11-06,1999-03-30,110,Certified Fresh,89,46,Upright,77,49633,7,41,5
On Golden Pond,PG,Drama,1981-12-04,2001-03-20,109,Fresh,93,28,Upright,87,20529,8,26,2
Cheech and Chong's Nice Dreams,R,"Comedy, Musical & Performing Arts",1981-12-31,2005-03-29,87,Rotten,43,7,Upright,68,30028,0,3,4
Basket Case,R,Horror,1982-01-01,1998-12-08,90,Fresh,75,24,Spilled,53,11549,0,18,6
Grease 2,PG,"Comedy, Musical & Performing Arts, Romance",1982-01-01,2003-06-09,115,Rotten,38,34,Spilled,53,393787,8,13,21
The Last Unicorn,G,"Animation, Kids & Family, Science Fiction & Fantasy",1982-01-01,2004-03-15,84,Fresh,71,21,Upright,86,54572,4,15,6
An Officer and a Gentleman,R,"Action & Adventure, Drama, Romance",1982-01-01,2000-12-12,124,Fresh,79,29,Upright,81,51062,6,23,6
Swamp Thing,PG,"Comedy, Cult Movies, Horror, Science Fiction & Fantasy",1982-01-01,2001-08-14,90,Fresh,67,36,Spilled,34,21939,5,24,12
